"Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","Check Content","Fix Text","CCI","NIST SP 800-53 Revision 4 References","Legacy",
"V-217856","low","SRG-OS-000366","SV-217856r505923_rule","RHEL-06-000015","The system package management tool must cryptographically verify the authenticity of all software packages during installation.","Ensuring all packages' cryptographic signatures are valid prior to installation ensures the provenance of the software and protects against malicious tampering.","To determine whether ""yum"" has been configured to disable ""gpgcheck"" for any repos, inspect all files in ""/etc/yum.repos.d"" and ensure the following does not appear in any sections: 

gpgcheck=0

A value of ""0"" indicates that ""gpgcheck"" has been disabled for that repo. 
If GPG checking is disabled, this is a finding.

If the ""yum"" system package management tool is not used to update the system, verify with the SA that installed packages are cryptographically signed.","To ensure signature checking is not disabled for any repos, remove any lines from files in ""/etc/yum.repos.d"" of the form: 

gpgcheck=0","CCI-001749","CM-5 (3)","V-38487; SV-50288",
"V-217857","medium","SRG-OS-000363","SV-217857r505923_rule","RHEL-06-000016","A file integrity tool must be installed.","The AIDE package must be installed if it is to be available for integrity checking.","If another file integrity tool is installed, this is not a finding.

Run the following command to determine if the ""aide"" package is installed: 

# rpm -q aide


If the package is not installed, this is a finding.","Install the AIDE package with the command: 

# yum install aide","CCI-001774","CM-7 (5) (b)","V-38489; SV-50290",
"V-217858","medium","SRG-OS-000445","SV-217858r505923_rule","RHEL-06-000017","The system must use a Linux Security Module at boot time.","Disabling a major host protection feature, such as SELinux, at boot time prevents it from confining system services at boot time. Further, it increases the chances that it will remain off during system operation.","Inspect ""/boot/grub/grub.conf"" for any instances of ""selinux=0"" in the kernel boot arguments. Presence of ""selinux=0"" indicates that SELinux is disabled at boot time. If SELinux is disabled at boot time, this is a finding.","SELinux can be disabled at boot time by an argument in ""/boot/grub/grub.conf"". Remove any instances of ""selinux=0"" from the kernel arguments in that file to prevent SELinux from being disabled at boot. ","CCI-002163, CCI-002696","AC-3 (4);SI-6 a","V-51337; SV-65547",
"V-217859","medium","SRG-OS-000363","SV-217859r505923_rule","RHEL-06-000018","A file integrity baseline must be created.","For AIDE to be effective, an initial database of ""known-good"" information about files must be captured and it should be able to be verified against the installed files. ","To find the location of the AIDE database file, run the following command:

# grep DBDIR /etc/aide.conf

Using the defined values of the [DBDIR] and [database] variables, verify the existence of the AIDE database file:

# ls -l [DBDIR]/[database_file_name]

If there is no database file, this is a finding. ","Run the following command to generate a new database:

# /usr/sbin/aide --init

By default, the database will be written to the file ""/var/lib/aide/aide.db.new.gz"". Storing the database, the configuration file ""/etc/aide.conf"", and the binary ""/usr/sbin/aide"" (or hashes of these files), in a secure location (such as on read-only media) provides additional assurance about their integrity. The newly-generated database can be installed as follows:

# cp /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz

To initiate a manual check, run the following command:

# /usr/sbin/aide --check

If this check produces any unexpected output, investigate. ","CCI-001774","CM-7 (5) (b)","V-51391; SV-65601",
"V-217860","high","SRG-OS-000480","SV-217860r505923_rule","RHEL-06-000019","There must be no .rhosts or hosts.equiv files on the system.","Trust files are convenient, but when used in conjunction with the R-services, they can allow unauthenticated access to a system.","The existence of the file ""/etc/hosts.equiv"" or a file named "".rhosts"" inside a user home directory indicates the presence of an Rsh trust relationship. 
If these files exist, this is a finding.","The files ""/etc/hosts.equiv"" and ""~/.rhosts"" (in each user's home directory) list remote hosts and users that are trusted by the local system when using the rshd daemon. To remove these files, run the following command to delete them from any location. 

# rm /etc/hosts.equiv



$ rm ~/.rhosts","CCI-000366","CM-6 b","V-38491; SV-50292",
"V-217861","medium","SRG-OS-000324","SV-217861r505923_rule","RHEL-06-000020","The system must use a Linux Security Module configured to enforce limits on system services.","Setting the SELinux state to enforcing ensures SELinux is able to confine potentially compromised processes to the security policy, which is designed to prevent them from causing damage to the system or further elevating their privileges. 

Per OPORD 16-0080, the preferred intrusion detection system is McAfee Host Intrusion Prevention System (HIPS) in conjunction with SELinux. However, McAfee Endpoint Security for Linux (ENSL) is an approved alternative to both McAfee Virus Scan Enterprise (VSE) and HIPS. In either scenario, SELinux is interoperable with the McAfee products and SELinux is still required.","If an HBSS or HIPS is active on the system, this is Not Applicable.

Check the file ""/etc/selinux/config"" and ensure the following line appears:

SELINUX=enforcing

If SELINUX is not set to enforcing, this is a finding. ","The SELinux state should be set to ""enforcing"" at system boot time. In the file ""/etc/selinux/config"", add or correct the following line to configure the system to boot into enforcing mode:

SELINUX=enforcing","CCI-002165, CCI-002235","AC-3 (4);AC-6 (10)","V-51363; SV-65573",
"V-217862","high","SRG-OS-000480","SV-217862r505923_rule","RHEL-06-000021","The Red Hat Enterprise Linux operating system must not contain .shosts or shosts.equiv files.","The .shosts and shosts.equiv files are used to configure host-based authentication for the system via SSH. Host-based authentication is not sufficient for preventing unauthorized access to the system, as it does not require interactive identification and authentication of a connection request, or for the use of two-factor authentication.","Verify there are no "".shosts"" or ""shosts.equiv"" files on the system.

# find / -name '*.shosts'

# find / -name shosts.equiv

If any "".shosts"" or ""shosts.equiv"" files are found on the system, this is a finding.","Remove any found "".shosts"" or ""shosts.equiv"" files from the system.

# rm /[path]/[to]/[file]/.shosts
# rm /[path]/[to]/[file]/shosts.equiv","CCI-000366","CM-6 b","V-100011; SV-109115",
"V-217863","low","SRG-OS-000324","SV-217863r505923_rule","RHEL-06-000023","The system must use a Linux Security Module configured to limit the privileges of system services.","Setting the SELinux policy to ""targeted"" or a more specialized policy ensures the system will confine processes that are likely to be targeted for exploitation, such as network or system services. ","Check the file ""/etc/selinux/config"" and ensure the following line appears:

SELINUXTYPE=targeted

If it does not, this is a finding. ","The SELinux ""targeted"" policy is appropriate for general-purpose desktops and servers, as well as systems in many other roles. To configure the system to use this policy, add or correct the following line in ""/etc/selinux/config"":

SELINUXTYPE=targeted

Other policies, such as ""mls"", provide additional security labeling and greater confinement but are not compatible with many general-purpose use cases. ","CCI-002165, CCI-002235","AC-3 (4);AC-6 (10)","V-51369; SV-65579",
"V-217864","low","SRG-OS-000324","SV-217864r505923_rule","RHEL-06-000025","All device files must be monitored by the system Linux Security Module.","If a device file carries the SELinux type ""unlabeled_t"", then SELinux cannot properly restrict access to the device file. ","To check for unlabeled device files, run the following command:

# ls -RZ /dev | grep unlabeled_t

It should produce no output in a well-configured system. 

If there is output, this is a finding. ","Device files, which are used for communication with important system resources, should be labeled with proper SELinux types. If any device files carry the SELinux type ""unlabeled_t"", investigate the cause and correct the file's context. ","CCI-002165, CCI-002235","AC-3 (4);AC-6 (10)","V-51379; SV-65589",
"V-217865","medium","SRG-OS-000109","SV-217865r505923_rule","RHEL-06-000027","The system must prevent the root account from logging in from virtual consoles.","Preventing direct root login to virtual console devices helps ensure accountability for actions taken on the system using the root account. ","To check for virtual console entries which permit root login, run the following command: 

# grep '^vc/[0-9]' /etc/securetty

If any output is returned, then root logins over virtual console devices is permitted. 
If root login over virtual console devices is permitted, this is a finding.","To restrict root logins through the (deprecated) virtual console devices, ensure lines of this form do not appear in ""/etc/securetty"": 

vc/1
vc/2
vc/3
vc/4

Note:  Virtual console entries are not limited to those listed above.  Any lines starting with ""vc/"" followed by numerals should be removed.","CCI-000770","IA-2 (5)","V-38492; SV-50293",
"V-217866","low","SRG-OS-000109","SV-217866r505923_rule","RHEL-06-000028","The system must prevent the root account from logging in from serial consoles.","Preventing direct root login to serial port interfaces helps ensure accountability for actions taken on the systems using the root account.","To check for serial port entries which permit root login, run the following command: 

# grep '^ttyS[0-9]' /etc/securetty

If any output is returned, then root login over serial ports is permitted. 
If root login over serial ports is permitted, this is a finding.","To restrict root logins on serial ports, ensure lines of this form do not appear in ""/etc/securetty"": 

ttyS0
ttyS1

Note:  Serial port entries are not limited to those listed above.  Any lines starting with ""ttyS"" followed by numerals should be removed","CCI-000770","IA-2 (5)","V-38494; SV-50295",
"V-217867","medium","SRG-OS-000480","SV-217867r505923_rule","RHEL-06-000029","Default operating system accounts, other than root, must be locked.","Disabling authentication for default system accounts makes it more difficult for attackers to make use of them to compromise a system.","To obtain a listing of all users and the contents of their shadow password field, run the command: 

$ awk -F: '$1 !~ /^root$/ && $2 !~ /^[!*]/ {print $1 "":"" $2}' /etc/shadow

Identify the operating system accounts from this listing. These will primarily be the accounts with UID numbers less than 500, other than root. 

If any default operating system account (other than root) has a valid password hash, this is a finding.","Some accounts are not associated with a human user of the system, and exist to perform some administrative function. An attacker should not be able to log into these accounts. 

Disable logon access to these accounts with the command: 

# passwd -l [SYSACCT]","CCI-000366","CM-6 b","V-38496; SV-50297",
"V-217868","high","SRG-OS-000480","SV-217868r505923_rule","RHEL-06-000030","The system must not have accounts configured with blank or null passwords.","If an account has an empty password, anyone could log in and run commands with the privileges of that account. Accounts with empty passwords should never be used in operational environments.","To verify that null passwords cannot be used, run the following command: 

# grep nullok /etc/pam.d/system-auth /etc/pam.d/password-auth

If this produces any output, it may be possible to log into accounts with empty passwords. 
If NULL passwords can be used, this is a finding.","If an account is configured for password authentication but does not have an assigned password, it may be possible to log onto the account without authentication. Remove any instances of the ""nullok"" option in ""/etc/pam.d/system-auth"" and ""/etc/pam.d/password-auth"" to prevent logons with empty passwords.","CCI-000366","CM-6 b","V-38497; SV-50298",
"V-217869","medium","SRG-OS-000073","SV-217869r505923_rule","RHEL-06-000031","The /etc/passwd file must not contain password hashes.","The hashes for all user account passwords should be stored in the file ""/etc/shadow"" and never in ""/etc/passwd"", which is readable by all users.","To check that no password hashes are stored in ""/etc/passwd"", run the following command: 

# awk -F: '($2 != ""x"") {print}' /etc/passwd

If it produces any output, then a password hash is stored in ""/etc/passwd"". 
If any stored hashes are found in /etc/passwd, this is a finding.","If any password hashes are stored in ""/etc/passwd"" (in the second field, instead of an ""x""), the cause of this misconfiguration should be investigated. The account should have its password reset and the hash should be properly stored, or the account should be deleted entirely.","CCI-000196","IA-5 (1) (c)","V-38499; SV-50300",
"V-217870","medium","SRG-OS-000480","SV-217870r505923_rule","RHEL-06-000032","The root account must be the only account having a UID of 0.","An account has root authority if it has a UID of 0. Multiple accounts with a UID of 0 afford more opportunity for potential intruders to guess a password for a privileged account. Proper configuration of sudo is recommended to afford multiple system administrators access to root privileges in an accountable manner.","To list all password file entries for accounts with UID 0, run the following command: 

# awk -F: '($3 == 0) {print}' /etc/passwd

This should print only one line, for the user root. 
If any account other than root has a UID of 0, this is a finding.","If any account other than root has a UID of 0, this misconfiguration should be investigated and the accounts other than root should be removed or have their UID changed.","CCI-000366","CM-6 b","V-38500; SV-50301",
"V-217871","medium","SRG-OS-000480","SV-217871r505923_rule","RHEL-06-000033","The /etc/shadow file must be owned by root.","The ""/etc/shadow"" file contains the list of local system accounts and stores password hashes. Protection of this file is critical for system security. Failure to give ownership of this file to root provides the designated owner with access to sensitive information which could weaken the system security posture.","To check the ownership of ""/etc/shadow"", run the command: 

$ ls -l /etc/shadow

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding.","To properly set the owner of ""/etc/shadow"", run the command: 

# chown root /etc/shadow","CCI-000366","CM-6 b","V-38502; SV-50303",
"V-217872","medium","SRG-OS-000480","SV-217872r505923_rule","RHEL-06-000034","The /etc/shadow file must be group-owned by root.","The ""/etc/shadow"" file stores password hashes. Protection of this file is critical for system security.","To check the group ownership of ""/etc/shadow"", run the command: 

$ ls -l /etc/shadow

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding.","To properly set the group owner of ""/etc/shadow"", run the command: 

# chgrp root /etc/shadow","CCI-000366","CM-6 b","V-38503; SV-50304",
"V-217873","medium","SRG-OS-000480","SV-217873r505923_rule","RHEL-06-000035","The /etc/shadow file must have mode 0000.","The ""/etc/shadow"" file contains the list of local system accounts and stores password hashes. Protection of this file is critical for system security. Failure to give ownership of this file to root provides the designated owner with access to sensitive information which could weaken the system security posture.","To check the permissions of ""/etc/shadow"", run the command: 

$ ls -l /etc/shadow

If properly configured, the output should indicate the following permissions: ""----------"" 
If it does not, this is a finding.","To properly set the permissions of ""/etc/shadow"", run the command: 

# chmod 0000 /etc/shadow","CCI-000366","CM-6 b","V-38504; SV-50305",
"V-217874","medium","SRG-OS-000480","SV-217874r505923_rule","RHEL-06-000036","The /etc/gshadow file must be owned by root.","The ""/etc/gshadow"" file contains group password hashes. Protection of this file is critical for system security.","To check the ownership of ""/etc/gshadow"", run the command: 

$ ls -l /etc/gshadow

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding.","To properly set the owner of ""/etc/gshadow"", run the command: 

# chown root /etc/gshadow","CCI-000366","CM-6 b","V-38443; SV-50243",
"V-217875","medium","SRG-OS-000480","SV-217875r505923_rule","RHEL-06-000037","The /etc/gshadow file must be group-owned by root.","The ""/etc/gshadow"" file contains group password hashes. Protection of this file is critical for system security.","To check the group ownership of ""/etc/gshadow"", run the command: 

$ ls -l /etc/gshadow

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding.","To properly set the group owner of ""/etc/gshadow"", run the command: 

# chgrp root /etc/gshadow","CCI-000366","CM-6 b","V-38448; SV-50248",
"V-217876","medium","SRG-OS-000480","SV-217876r505923_rule","RHEL-06-000038","The /etc/gshadow file must have mode 0000.","The /etc/gshadow file contains group password hashes. Protection of this file is critical for system security.","To check the permissions of ""/etc/gshadow"", run the command: 

$ ls -l /etc/gshadow

If properly configured, the output should indicate the following permissions: ""----------"" 
If it does not, this is a finding.","To properly set the permissions of ""/etc/gshadow"", run the command: 

# chmod 0000 /etc/gshadow","CCI-000366","CM-6 b","V-38449; SV-50249",
"V-217877","medium","SRG-OS-000480","SV-217877r505923_rule","RHEL-06-000039","The /etc/passwd file must be owned by root.","The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.","To check the ownership of ""/etc/passwd"", run the command: 

$ ls -l /etc/passwd

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding.","To properly set the owner of ""/etc/passwd"", run the command: 

# chown root /etc/passwd","CCI-000366","CM-6 b","V-38450; SV-50250",
"V-217878","medium","SRG-OS-000480","SV-217878r505923_rule","RHEL-06-000040","The /etc/passwd file must be group-owned by root.","The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.","To check the group ownership of ""/etc/passwd"", run the command: 

$ ls -l /etc/passwd

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding.","To properly set the group owner of ""/etc/passwd"", run the command: 

# chgrp root /etc/passwd","CCI-000366","CM-6 b","V-38451; SV-50251",
"V-217879","medium","SRG-OS-000480","SV-217879r505923_rule","RHEL-06-000041","The /etc/passwd file must have mode 0644 or less permissive.","If the ""/etc/passwd"" file is writable by a group-owner or the world the risk of its compromise is increased. The file contains the list of accounts on the system and associated information, and protection of this file is critical for system security.","To check the permissions of ""/etc/passwd"", run the command: 

$ ls -l /etc/passwd

If properly configured, the output should indicate the following permissions: ""-rw-r--r--"" 
If it does not, this is a finding.","To properly set the permissions of ""/etc/passwd"", run the command: 

# chmod 0644 /etc/passwd","CCI-000366","CM-6 b","V-38457; SV-50257",
"V-217880","medium","SRG-OS-000480","SV-217880r505923_rule","RHEL-06-000042","The /etc/group file must be owned by root.","The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.","To check the ownership of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following owner: ""root"" 
If it does not, this is a finding.","To properly set the owner of ""/etc/group"", run the command: 

# chown root /etc/group","CCI-000366","CM-6 b","V-38458; SV-50258",
"V-217881","medium","SRG-OS-000480","SV-217881r505923_rule","RHEL-06-000043","The /etc/group file must be group-owned by root.","The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.","To check the group ownership of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following group-owner. ""root"" 
If it does not, this is a finding.","To properly set the group owner of ""/etc/group"", run the command: 

# chgrp root /etc/group","CCI-000366","CM-6 b","V-38459; SV-50259",
"V-217882","medium","SRG-OS-000480","SV-217882r505923_rule","RHEL-06-000044","The /etc/group file must have mode 0644 or less permissive.","The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.","To check the permissions of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following permissions: ""-rw-r--r--"" 
If it does not, this is a finding.","To properly set the permissions of ""/etc/group"", run the command: 

# chmod 644 /etc/group","CCI-000366","CM-6 b","V-38461; SV-50261",
"V-217883","medium","SRG-OS-000259","SV-217883r505923_rule","RHEL-06-000045","Library files must have mode 0755 or less permissive.","Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Restrictive permissions are necessary to protect the integrity of the system.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64


Kernel modules, which can be added to the kernel during runtime, are stored in ""/lib/modules"". All files in these directories should not be group-writable or world-writable. To find shared libraries that are group-writable or world-writable, run the following command for each directory [DIR] which contains shared libraries: 

$ find -L [DIR] -perm /022 -type f


If any of these files (excluding broken symlinks) are group-writable or world-writable, this is a finding.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64

If any file in these directories is found to be group-writable or world-writable, correct its permission with the following command: 

# chmod go-w [FILE]","CCI-001499","CM-5 (6)","V-38465; SV-50265",
"V-217884","medium","SRG-OS-000259","SV-217884r505923_rule","RHEL-06-000046","Library files must be owned by a system account.","Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Proper ownership is necessary to protect the integrity of the system.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64
/usr/local/lib
/usr/local/lib64

Kernel modules, which can be added to the kernel during runtime, are stored in ""/lib/modules"". All files in these directories should not be group-writable or world-writable.  To find shared libraries that are not owned by ""root"" and do not match what is expected by the RPM, run the following command:

for i in /lib /lib64 /usr/lib /usr/lib64
do
  for j in `find -L $i \! -user root`
  do
    rpm -V -f $j | grep '^.....U'
  done
done


If the command returns any results, this is a finding.","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64
/usr/local/lib 
/usr/local/lib64

If any file in these directories is found to be owned by a user other than “root” and does not match what is expected by the RPM, correct its ownership by running one of the following commands: 


# rpm --setugids [PACKAGE_NAME]

Or

# chown root [FILE]","CCI-001499","CM-5 (6)","V-38466; SV-50266",
"V-217885","medium","SRG-OS-000259","SV-217885r505923_rule","RHEL-06-000047","All system command files must have mode 755 or less permissive.","System binaries are executed by privileged users, as well as system services, and restrictive permissions are necessary to ensure execution of these programs cannot be co-opted.","System executables are stored in the following directories by default: 

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

All files in these directories should not be group-writable or world-writable. To find system executables that are group-writable or world-writable, run the following command for each directory [DIR] which contains system executables: 

$ find -L [DIR] -perm /022 -type f

If any system executables are found to be group-writable or world-writable, this is a finding.","System executables are stored in the following directories by default: 

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

If any file in these directories is found to be group-writable or world-writable, correct its permission with the following command: 

# chmod go-w [FILE]","CCI-001499","CM-5 (6)","V-38469; SV-50269",
