"Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","IA Controls","Check Content","Fix Text","False Positives","False Negatives","Documentable","Mitigations","Potential Impact","Third Party Tools","Mitigation Control","Responsibility","Severity Override Guidance","Check Content Reference","Classification","STIG","VMS Asset Posture","CCI",
"V-773","medium","GEN000880","SV-39820r1_rule","GEN000880","The root account must be the only account having an UID of 0.","If an account has an UID of 0, it has root authority. Multiple accounts with an UID of 0 afford more opportunity for potential intruders to guess a password for a privileged account.","ECLP-1","Check the system for duplicate UID 0 assignments by listing all accounts assigned UID 0.

Procedure:
# awk -F: '$3 == 0' /etc/passwd

If any accounts other than root are assigned UID 0, this is a finding.","Remove or change the UID of accounts other than root that have UID 0.   ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-774","low","GEN000900","SV-774r2_rule","GEN000900","The root user's home directory must not be the root directory (/).","Changing the root home directory to something other than / and assigning it a 0700 protection makes it more difficult for intruders to manipulate the system by reading the files that root places in its default directory. It also gives root the same discretionary access control for root's home directory as for the other plain user home directories.","ECCD-1, ECCD-2","Determine if root is assigned a home directory other than / by listing its home directory.

Procedure:
# grep ""^root"" /etc/passwd | awk -F"":"" '{print $6}'

If the root user home directory is /, this is a finding.","The root home directory should be something other than / (such as /rootdir).

Procedure:
# mkdir /rootdir
# chown root /rootdir
# chgrp root /rootdir
# chmod 700 /rootdir
# cp -r /.??* /rootdir

Edit the passwd file and change the root home directory to /rootdir. The cp -r /.??* command copies all files and subdirectories of file names beginning with ""."" into the new root directory, which preserves the previous root environment. The cp command must be executed from the / directory.","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-775","medium","GEN000920","SV-775r2_rule","GEN000920","The root account's home directory (other than /) must have mode 0700.","Permissions greater than 0700 could allow unauthorized users access to the root home directory.","ECCD-1, ECCD-2","Check the mode of the root home directory.

Procedure:
# grep ""^root"" /etc/passwd | awk -F"":"" '{print $6}'
# ls -ld <root home directory>

If the mode of the directory is not equal to 0700, this is a finding. If the home directory is /, this is not applicable.","The root home directory will have permissions of 0700. Do not change the protections of the / directory. Use the following command to change protections for the root home directory.
# chmod 0700 /rootdir.   ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-776","medium","GEN000940","SV-776r4_rule","GEN000940","The root accounts executable search path must contain only authorized paths.","The executable search path (typically the PATH environment variable) contains a list of directories for the shell to search to find executables. If this path includes the current working directory or other relative paths, executables in these directories may be executed instead of system commands. This variable is formatted as a colon-separated list of directories. If there is an empty entry, such as a leading or trailing colon, two consecutive colons, or a single period, this is interpreted as the current working directory. Entries starting with a slash (/) are absolute paths.","","To view the root user's PATH, log in as the root user, and execute the following.
# env | grep PATH

This variable is formatted as a colon-separated list of directories. 

If there is an empty entry, such as a leading or trailing colon or two consecutive colons, this is a finding. 

If an entry begins with a character other than a slash (/), or has not been documented with the ISSO, this is a finding.
","Edit the root user's local initialization files. Remove any empty path entries. Remove any relative path entries that have not been documented with the ISSO.

Edit the root user’s local initialization files and remove any empty entry that is defined.
","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-777","medium","GEN000960","SV-37075r1_rule","GEN000960","The root account must not have world-writable directories in its executable search path.","If the root search path contains a world-writable directory, malicious software could be placed in the path by intruders and/or malicious users and inadvertently run by root with all of root's privileges.
","ECCD-1, ECCD-2","Check for world-writable permissions on all directories in the root user's executable search path. Procedure (on multiple lines): 

# echo $PATH | sed 's/ /\\ /g; s/:/
/g' | xargs ls -ld

If any of the directories in the PATH variable are world-writable, this is a finding.","For each world-writable path in root's executable search path, perform one of the following.

1. Remove the world-writable permission on the directory.
Procedure:
# chmod o-w <path>

2. Remove the world-writable directory from the executable search path.

Procedure:
Identify and edit the initialization file referencing the world-writable directory and remove it from the PATH variable.   ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-778","medium","GEN000980","SV-27143r1_rule","GEN000980","The system must prevent the root account from directly logging in except from the system console.","Limiting the root account direct logins to only system consoles protects the root account from direct unauthorized access from a non-console device.
","ECPA-1","Check the CONSOLE setting in /etc/default/login
# grep CONSOLE /etc/default/login
If CONSOLE is set to a value other than /dev/console, this is a finding.","Edit the /etc/default/login file and uncomment the line containing /dev/console if it is commented out.","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000770
The organization requires individuals to be authenticated with an individual authenticator when a group authenticator is employed.
NIST SP 800-53 :: IA-2 (5) (b)
NIST SP 800-53A :: IA-2 (5).2 (ii)
NIST SP 800-53 Revision 4 :: IA-2 (5)

",
"V-780","medium","GEN000360","SV-28658r1_rule","GEN000360","GIDs reserved for system accounts must not be assigned to non-system groups.","Reserved GIDs are typically used by system software packages.  If non-system groups have GIDs in this range, they may conflict with system software, possibly leading to the group having permissions to modify system files.","ECSC-1","# more /etc/passwd 
Confirm all accounts with a GID of 99 and below are used by a system account. If a GID reserved for system accounts (0 - 99)  is used by a non-system account, this is a finding. ","Change the primary group GID numbers for non-system accounts with reserved primary group GIDs (those less or equal to 99).

# usermod -g <new_group> <user>","","","true","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-781","low","GEN000380","SV-27069r1_rule","GEN000380","All GIDs referenced in the /etc/passwd file must be defined in the /etc/group file.","If a user is assigned the GID of a group not existing on the system, and a group with the same GID is subsequently created, the user may have unintended rights to the group.
","ECSC-1","Perform the following to ensure there are no GIDs referenced in /etc/passwd not defined in /etc/group.
# logins -o | awk -F: '$3 == """"'
If any lines are returned, there are GIDs referenced in /etc/passwd that are not defined in /etc/group, this is a finding.","Add a group to the system for each GID referenced that does not have a corresponding group. 

#/usr/sbin/groupadd < group >","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-782","medium","GEN006480","SV-41526r2_rule","GEN006480","The system must have a host-based intrusion detection tool installed.","Without a host-based intrusion detection tool, there is no system-level defense when an intruder gains access to a system or network.  Additionally, a host-based intrusion detection tool can provide methods to immediately lock out detected intrusion attempts.","ECID-1","Ask the SA or IAO if a host-based intrusion detection application is loaded on the system.

Determine if the application is loaded on the system.

Procedure:
# find / -name <daemon name> -print 

 

Determine if the application is active on the system.

Procedure:
# ps -ef | grep <daemon name> 

If no host-based intrusion detection system is installed on the system, this is a finding.
","Install a host-based intrusion detection tool.
","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-001259
The organization interconnects and configures individual intrusion detection tools into a systemwide intrusion detection system using common protocols.
NIST SP 800-53 :: SI-4 (1)
NIST SP 800-53A :: SI-4 (1).1

",
"V-783","medium","GEN000120","SV-40813r2_rule","GEN000120","System security patches and updates must be installed and up-to-date.","Timely patching is critical for maintaining the operational availability, confidentiality, and integrity of Information Technology (IT) systems. However, failure to keep operating system and application software patched is a common mistake made by IT professionals. New patches are released daily, and it is often difficult for even experienced system administrators to keep abreast of all the new patches. When new weaknesses in an operating system exist, patches are usually made available by the vendor to resolve the problems. If the most recent security patches and updates are not installed, unauthorized users may take advantage of weaknesses present in the unpatched software. The lack of prompt attention to patching could result in a system compromise.","","Use the smpatch(1m) utility to check for available security updates from Oracle.
# smpatch analyze
If there are security updates available, this is a finding.","Apply available security updates from Oracle.
# smpatch update","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-001227
The organization corrects information system flaws.
NIST SP 800-53 :: SI-2 a
NIST SP 800-53A :: SI-2.1 (i)
NIST SP 800-53 Revision 4 :: SI-2 a

",
"V-784","medium","GEN001140","SV-39833r1_rule","GEN001140","System files and directories must not have uneven access permissions.","Discretionary access control is undermined if users, other than a file owner, have greater access permissions to system files and directories than the owner.","ECCD-1, ECCD-2","Check system directories for uneven file permissions. 
Procedure:
 # ls -lL /etc /bin /usr/bin /usr/ucb /sbin /usr/sbin 

Uneven file permissions exist if the file owner has less permissions than the group or other user classes. If any of the files in the above listed directories contain uneven file permissions, this is a finding. ","Change the mode of files with uneven permissions so owners do not have less permission than group or world users. ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-785","medium","GEN001160","SV-785r2_rule","GEN001160","All files and directories must have a valid owner.","Unowned files and directories may be unintentionally inherited if a user is assigned the same UID as the UID of the unowned files.","ECCD-1, ECCD-2","Check the system for files with no assigned owner.

Procedure:
# find / -nouser -print

If any files have no assigned owner, this is a finding.","All directories and files (executable and data) will have an identifiable owner and group name. Either trace files to an authorized user, change the file's owner to root, or delete them. Determine the legitimate owner of the files and use the chown command to set the owner and group to the correct value. If the legitimate owner cannot be determined, change the owner to root (but make sure none of the changed files remain executable because they could be Trojan horses or other malicious code). Examine the files to determine their origin and the reason for their lack of an owner/group.","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
"V-786","medium","GEN001180","SV-27161r1_rule","GEN001180","All network services daemon files must have mode 0755 or less permissive.","Restricting permission on daemons will protect them from unauthorized modification and possible system compromise.
","ECLP-1","Check the mode of network services daemons.
# ls -la /usr/bin /usr/sbin
If the mode of a network services daemon is more permissive than 0755, this is a finding.
NOTE: Network daemons not residing in these directories (such as httpd or sshd) must also be checked for the correct permissions.

A way to locate network daemons, such as httpd and sshd, is with the ps command.
# ps -ef | egrep '(sshd|httpd)'","Change the mode of the network services daemon.
# chmod 0755 <path>","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-787","medium","GEN001260","SV-39832r2_rule","GEN001260","System log files must have mode 0640 or less permissive.","If the system log files are not protected, unauthorized users could change the logged data, eliminating its forensic value.","","Check the mode of log file hierarchies.

Procedure:
# ls -lLRa /var/log /var/adm

If any of the log files or their directories have modes more permissive than ""0640"", and these are not documented, this is a finding.","Change the mode of the system log file(s) to 0640 or less permissive.

Procedure:
# chmod ""0640"" /path/to/system-log-file

NOTE: Do not confuse system log files with audit logs.   Any subsystems that require less stringent permissions must be documented.","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-001314
The information system reveals error messages only to organization-defined personnel or roles.
NIST SP 800-53 :: SI-11 c
NIST SP 800-53A :: SI-11.1 (iv)
NIST SP 800-53 Revision 4 :: SI-11 b

",
"V-788","medium","GEN001800","SV-788r2_rule","GEN001800","All skeleton files (typically those in /etc/skel) must have mode 0644 or less permissive.","If the skeleton files are not protected, unauthorized personnel could change user startup parameters and possibly jeopardize user files.

","ECLP-1","Check skeleton files permissions.
# ls -alL /etc/skel
If a skeleton file has a mode more permissive than 0644, this is a finding.","Change the mode of skeleton files with incorrect mode.
# chmod 0644 <skeleton file>","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-789","medium","GEN001320","SV-27166r1_rule","GEN001320","NIS/NIS+/yp files must be owned by root, sys, or bin.","NIS/NIS+/yp files are part of the system's identification and authentication processes and are, therefore, critical to system security.  Failure to give ownership of sensitive files or utilities to root or bin provides the designated owner and unauthorized users with the potential to access sensitive information or change the system configuration which could weaken the system's security posture.
","ECLP-1","Perform the following to check NIS file ownership.
# ls -lRa /usr/lib/netsvc/yp /var/yp
If the file ownership is not root, sys, or bin, this is a finding.","Change the ownership of NIS/NIS+/yp files to root, bin, or sys.

Procedure:
# chown -R root /usr/lib/netsvc/yp /var/yp","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-790","medium","GEN001340","SV-27171r1_rule","GEN001340","NIS/NIS+/yp files must be group-owned by root, sys, or bin.","NIS/NIS+/yp files are part of the system's identification and authentication processes and are, therefore, critical to system security.  Failure to give ownership of sensitive files or utilities to root or bin provides the designated owner and unauthorized users with the potential to access sensitive information or change the system configuration which could weaken the system's security posture.
","ECLP-1","Perform the following to check NIS file ownership.
# ls -lRa /usr/lib/netsvc/yp /var/yp
If the file group owner is not root, sys, or bin, this is a finding.","Change the group owner of the NIS files to root, bin, or sys.

Procedure:
# chgrp -R root /usr/lib/netsvc/yp /var/yp","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
