"facility","severity_id","mnemonic","vendor_message_text","vendor_explanation","vendor_recommended_action"
"AM","3","MTS_SEND","Failed to send %s to %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","NO_AF","%s: Unable to get address family block for index %d","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","NO_MEM","Malloc failed for %s %s","The system may be low on memory.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"AM","3","NO_PIB","Unable to get pib for client pid %d while processing %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","NO_SMEM","Smalloc failed for %s %s","AM's shared memory quota may be used up, due to a large number of adjacencies or a memory leak.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"AM","3","PT_ADD","Pt_add failed for %s %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","QUEUE","%s failed for %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","READ_LOCK_HOLD","%s:%s():%d: Assert, read-lock not acquired","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","RIB_RTE_CHG","Failed to send AM route changes to %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","SHM_OPEN","Shared memory does not exist: %s","This message indicates an informational log about a system event.","No action is required."
"AM","3","THR_MUTEX_LOCK","Failed to thread mutex lock","Failed function pthread_mutex_lock.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","3","THR_MUTEX_UNLOCK","Failed to thread mutex lock","Failed function pthread_mutex_unlock.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","3","TLV_TO_STRUCT","Notification TLV to struct failed","An unexpected but recoverable error has occurred.","No action is required."
"AM","3","URIB_CNTXT","Failed to get Table_ID for %s on %s from %s (%ld)","An unrecoverable software error has occurred during the AM initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AM","5","INVALID_NOTIFY","Received invalid notification message","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","MQ_MAJOR","Received unknown major message type (%d) from %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","MQ_MINOR","Received unknown minor message type (%d) from %s","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","MQ_UNEXP","Received unexpected message (%d/%d) on %s queue","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","MSG_UNK","Received unknown % type: %lu","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","MTS_OPC_UNK","Received unknown MTS opcode %lu","An unexpected but recoverable error has occurred.","No action is required."
"AM","5","REG_DELAY","AM register %s delay: %d seconds","An unexpected but recoverable error has occurred.","No action is required."
"AM","6","FAILED_STATS","Failed to retrieve stats from FTM","This message indicates an informational log about a system event.","No action is required."
"AM","6","SYSMAN_CLEANUP","Terminated by SYSMAN cleanup signal ;",": Informational log about a system event. Explanation    The system has detected an error.","No action is required."
"AMT","2","SHM_LOCK_CREAT","Failed to create shared memory lock: %s","The system has failed to initialize.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"AMT","3","AMT_INIT","AMT init failed: %s","AMT process initialization failed.","Dump core, and then restart component."
"AMT","3","API_INIT","Couldn't initialize %s API","AMT failed to open API to interact with the component.","No action is required."
"AMT","3","BIND","bind() on %s failed: %s","AMT failed to bind UDP socket.","Dump core, and then restart component."
"AMT","3","COMP_DEREG","Unable to de-register with %s","AMT failed to de-register with a server component.","No action is required."
"AMT","3","COMP_REG","Unable to register with %s","AMT failed to register with a server component.","Dump core, and then restart component."
"AMT","3","DISC_NOT_ANYCAST","Relay Discovery packet from %s is addressed to %s, not an anycast address","An AMT Gateway sent Relay Discovery not using the Relay Anycast address.","Configure the network or router to decrease the number of routes."
"AMT","3","IP_TUNNEL_LIMIT","Reach IP tunnel limit of %d","AMT process failed to create tunnel because the policy limit has been reached.","Configure the network or router to decrease the number of routes."
"AMT","3","IPV6_TUNNEL_LIMIT","Reach IPv6 tunnel limit of %d","AMT process failed to create tunnel because the policy limit has been reached.","Configure the network or router to decrease the number of routes."
"AMT","3","LIB_API_INIT","Couldn't initialize %s API","Failed to open AMT API to interact with the component.","No action is required."
"AMT","3","LIB_SM_CLOSE","Couldn't close shm segment %s","Process failed to remove shared memory resource.","No action is required."
"AMT","3","LIB_SM_OPEN","Couldn't open shm segment %s","Process failed to access AMT's shared memory.","Dump core, and then restart component."
"AMT","3","MALLOC","Private mem malloc (%lu) failed in %s","AMT process is out of free private memory.","Configure the network or router to decrease the number of routes."
"AMT","3","MRIB_ADD_ROUTE","MRIB add route failed in %s","AMT failed to add route in MRIB.","No action is required."
"AMT","3","MRIB_DEL_ROUTE","MRIB delete route failed in %s","AMT failed to delete route in MRIB.","No action is required."
"AMT","3","MTS_DROP","Error returned from mts_drop(), errno: %s","AMT called an MTS API which returned an error.","Dump core, and then restart component."
"AMT","3","MTS_RECV","Error returned from mts_recv(), errno: %s","AMT called an MTS API which returned an error.","Dump core, and then restart component."
"AMT","3","NO_AMT_PAYLOAD","No AMT payload after stripping IP/IPv6 and UDP headers from %s, length: %d","AMT process received packet which is too short. The other side of the AMT tunnel has a protocol error.","Configure the network or router to decrease the number of routes."
"AMT","3","NO_M_COPYBACK","m_copyack() failed in amt_receive_multicast_data()","AMT process failed to copy AMT multicast data into an mbuf for IP to replicate the packet.","No action is required."
"AMT","3","NO_M_GET","amt_receive_multicast_data() could allocate mbuf data structure","AMT process failed to allocate an mbuf data structure to forward AMT encapsulated data in an AMT Gateway.","No action is required."
"AMT","3","NO_SET_PRIORITY","Failed to set policy or priority","AMT process could not set itself process priority, exiting.","No action is required."
"AMT","3","PKT_BAD_NONCE","Nonce from Relay Advertisement packet from %s does not match Relay Discovery packet nonce, received 0x%08x, expected 0x%08x","There is a possible AMT spoof attack since the Advertise and Disocvery nonces do not match.","Configure the network or router to decrease the number of routes."
"AMT","3","PKT_TOO_SHORT","Packet too short from %s","AMT process received packet which is too short. The other side of the AMT tunnel has a protocol error.","Configure the network or router to decrease the number of routes."
"AMT","3","PT_ADD","Couldn't add %s to Patricia Trie","AMT failed to update the tunnel Patricia Trie.","No action is required."
"AMT","3","PT_DEL","Couldn't delete %s from local PT","AMT failed to delete the local route-table entry.","No action is required."
"AMT","3","PTHREAD_CREATE","Couldn't create thread %s","AMT process failed to create a task thread.","Dump core, and then restart component."
"AMT","3","RESTART_REASON","AMT process has restarted, restart reason: %s\n","AMT is restoring the routes it had added in previous instance.","No action is required."
"AMT","3","RLIMIT","Couldn't set AMT data segment size to %lu","AMT process could not set a memory resource limit, exiting.","No action is required."
"AMT","3","SETSOCKOPT","setsockopt() on %s failed: %s","AMT failed in UDP socket operation.","Dump core, and then restart component."
"AMT","3","SLAB_CREATE","Slab alloc of type %s failed","AMT process failed to allocate Slab memory.","Configure the network or router to decrease the number of routes."
"AMT","3","SM_CREATE","Couldn't create shm segment %s","AMT process failed to initialize shared memory resource.","Dump core, and then restart component."
"AMT","3","SMALLOC","Shared mem malloc (%lu) failed in %s","AMT process is out of free shared memory.","Configure the network or router to decrease the number of routes."
"AMT","3","SOCKET","socket() for %s failed: %s","AMT failed to obtain UDP socket.","Dump core, and then restart component."
"AMT","3","TIMER_SET_INIT","Couldn't init %s active timer set","AMT failed to initialize timer resource.","Dump core, and then restart component."
"AMT","3","TUNNEL_FAILED","Could not allocate shared-memory for amt_tunneltype data structure","AMT process failed to create data structure to establish tunnel.","Configure the network or router to decrease the number of routes."
"AMT","3","UDP_SENDTO","udp_sendto() failed to %s in %s, error: %s","AMT failed to send over UDP socket.","No action is required."
"AMT","3","UNKNOWN_MTYPE","Unknown mtype: %d/%d in %s","AMT process received unknown Interprocess message, dropped.","No action is required."
"AMT","6","RESTART_SHUTDOWN","AMT shutting self down via restart command","AMT process is shutting itself down due to the restart command.","No action is required."
"AMT","6","SHUTDOWN","Shutting down AMT process","PIM received a shutdown request.","No action is required."
"AMT","6","SHUTDOWN_SELF","AMT shutting self down","AMT process is shutting itself down.","No action is required."
"AMT","6","UNKNOWN_OPC","Received unknown mts opcode %d","AMT process received unknown Interprocess message, dropped.","No action is required."
"ARP","2","AM_PIB","Failed to acquire AM handle %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","AM_REG","Failed to register as a client of AM %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","API_INIT","Failed to initialize %s API","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","API_INITIALIZE","Failed to initialize %s API with rc=0x%x, %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","CLI_INIT","Failed to initialize CLI","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","DUP_SRC_IP","Source address of packet received from %s on %s(%s) is duplicate of local, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","2","DUP_SRCIP","Source address of packet received from %s on %s is duplicate of local, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","2","INIT_FAIL","Initialization failure","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","MQ_OPEN","Failed to open message queue %s: %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","MQ_RECV","Message queue receive failed on %s queue: %s","An unexpected fatal error has occurred.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","MTS_BIND","Failed to do mts_bind for %s: %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","MTS_OPC_SET","Failed to register with opcode %d: %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","MTS_RECV","MTS queue receive failed on %s queue: %s","An unexpected fatal error has occurred.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SET_SCHED","Failed to set policy or priority","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SHM_ATTACH","Failed to attach %s shared memory","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SVR_REG","Failed to register as a client of %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SYSMGR_NOTIFY","Bad notification from sysmgr for %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SYSMGR_QUERY","Failed to query sysmgr for %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","SYSMGR_UUID","Failed to get uuid from sysmgr during %s","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","THR_CREAT","Failed to create thread %s: error %d","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","THREAD_FAIL","Failed to start %s thread","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","TIMER_SET","Failed to initialize new timer set","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","2","TIMERS_INIT","Failed to initialize timers","An unrecoverable software error has occurred during ARP initialization.","Use 'reload' command to reload the system. Be aware that this problem affects all VDCs on the system."
"ARP","3","ADJ_ADD","Failed to add adjacency for received packet from %s on %s","Due to this failure, packet forwarding to this address will be affected until the next successful retry.","No action is required."
"ARP","3","ADJ_UPD","Failed to update adjacency for received packet from %s on %s","Due to this failure, packet forwarding will continue to use the existing ARP adjacency entry values.","No action is required."
"ARP","3","API_MQ_INVAL","ARP API Error: Invalid ARP message queue in %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","API_MQ_SEND","ARP API Error: Failed to send %s to %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","API_MTS_INVAL","ARP API Error: Invalid ARP MTS queue in %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","API_MTS_SEND","ARP API Error: Failed to send %s to %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","DAI_FETCH_ERR","DAI lookup failed, callback function returned 0x%x (%s) for %s %s","DAI lookup failed.","No action is required."
"ARP","3","DUP_VADDR_SRC_IP","Source address of packet received from %s on %s(%s) is duplicate of local virtual ip, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","3","DUP_VADDR_SRCIP","Source address of packet received from %s on %s is duplicate of local virtual ip, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","3","DUP_VIRT_SRC_IP","Source address of packet received from %s on %s(%s) is duplicate of local virtual ip, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","3","DUP_VIRT_SRCIP","Source address of packet received from %s on %s is duplicate of local virtual ip, %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","3","GRAT_ETH","Sending gratuitous arp for %s on invalid interface %s, not ethernet","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","GRAT_IOD","Sending gratuitous ARP for %s on an invalid interface %u","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","GRAT_IP","Sending gratuitous ARP request for %s IP address %s on %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","GRAT_NON_AM","Sending gratuitous arp for %s on invalid interface %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","GRAT_P2P","Sending gratuitous arp for %s on invalid interface %s, point-to-point","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","HDR_ERR","Failed to get ARP header, expected %d, got %d bytes","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","HDR_L2LEN_ERR","Received packet with incorrect layer 2 address length (%d bytes)","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","HDR_L3LEN_ERR","Received packet with incorrect layer 3 address length (%d bytes)","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","IF_INDEX","Invalid interface index received from %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","IM_EXT","Couldn't set IM-extension for interface %s","ARP process failed to set IM extension.","No action is required."
"ARP","3","INVAL_HDR","Found incorrect hardware/protocol type in ARP header: %hu/%hu","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","INVAL_STATE","Unrecognized ARP entry state in timer callback: %lu","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","MAC_ERR","Failed to get MAC address on %s for %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","MBUF_ERR","Failed to get the remainder of packet, expected %d, got %d bytes","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","MTS_DROP","MTS drop failed on %s queue: %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","NO_MBUF","Failed to allocate buffer for %s","The system may have run out of packet memory buffers.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"ARP","3","NO_MEM","Malloc failed for %s %s","The system may be low on memory.","Contact the Cisco Technical Assistance Center (TAC) through the Cisco Support web site http://www.cisco.com/tac."
"ARP","3","PKT_ENCAP","Failed to encapsulate packet","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","PKT_OUT","Failed to send packet to PM","PM's message queue may be temporarily full.","No action is required."
"ARP","3","REQ_ADD","Failed to add adjacency while sending request for %s on %s, request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","REQ_ETH","Sending ARP request for %s on invalid interface %s, not ethernet, request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","REQ_IOD","Sending ARP request for %s on an invalid interface %u, request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","REQ_IP","Sending ARP request for %s IP address %s on %s, request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","REQ_NON_AM","Sending ARP request for %s on invalid interface %s request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","REQ_P2P","Sending ARP request for %s on invalid interface %s, point-to-point, request from pid: %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","TIMER_RSTART","Failed to restart timer 0x%p for %s on %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRP_ETH","Adding vrrp arp for %s: invalid interface %s, not ethernet","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRP_IOD","Adding vrrp arp for %s: invalid interface %u","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRP_NON_AM","Sending vrrp arp for %s on invalid interface %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRP_P2P","Sending vrrp arp for %s on invalid interface %s, point-to-point","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRPQ_ADD","Failed to add VRRP queue entry for %s, %s on %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","3","VRRPQ_IP","Trying to add invalid IP address %s on %s to vrrp queue","An unexpected but recoverable error has occurred.","No action is required."
"ARP","4","DIR_BCAST","%s address of packet received from %s on %s matches directed broadcast address, %s","There may be a configured subnet mask-length mismatch among router interfaces connected on this LAN.","Check all routers on the interface for a misconfiguration."
"ARP","4","DUP_IP","ARP entry found with duplicate IP address %s on %s","There may be another router on this network that is configured with the same IP address.","Check all routers on the interface for a misconfiguration."
"ARP","4","INVAL_IP","Received packet with invalid %s IP address (%s) from %s on %s","There may be a connected router sending packets with a bogus IP address.","Check all routers on the interface for a misconfiguration."
"ARP","4","INVAL_MAC","Received packet with invalid %s MAC address (%s) from %s on %s","There may be a connected router sending packets with a bogus MAC address.","Check all routers on the interface for a misconfiguration."
"ARP","4","OWN_SRCMAC","Received packet with a local source MAC address (%s) from %s on %s","There may be a connected router sending packets with local MAC address.","Check all routers on the interface for a misconfiguration."
"ARP","4","SRCIP_ERR","Source address of received packet (%s) does not match subnet on interface %s","There may be a configured subnet mismatch among router interfaces connected on the LAN.","Check all routers on the interface for a misconfiguration."
"ARP","5","MQ_MINOR","Received unknown minor message type (%d) from %s","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","MQ_UNEXP","Received unexpected message (%d/%d) on %s queue","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","MSG_UNK","Received unknown % type: %lu","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","MTS_OPC_UNK","Received unknown MTS opcode %lu","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","UNK_IP_NOTIF","Unrecognized IP address change notification type %lu","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","UNK_MSG_MINOR","Unrecognized %s message minor type %d","An unexpected but recoverable error has occurred.","No action is required."
"ARP","5","UNK_SIG","Received unknown signal %d ;",": An unexpected but recoverable error has occurred. Explanation    The system has detected an error.","No action is required."
"ARP","6","SYSMAN_CLEANUP","Terminated by SYSMAN cleanup signal ;",": Informational log about a system event. Explanation    The system has detected an error.","No action is required."
"ATIMERS","3","ERROR","%s","An active timer API has detected an error Parameters: Error ...","No action is required."
"ATIMERS","3","OPER","timer failed to %s, error %s","An active timer API has detected an error Parameters: timer operation, reason ...","No action is required."
"ATIMERS","3","START","starting timer 0x%p: heap not allocated for set id %u","An active timer API has detected an error Parameters: timer, Set ID ...","No action is required."
"ATIMERS","3","STOP","stopping timer 0x%p: heap not allocated for set id %u\n","An active timer API has detected an error Parameters: timer, Set ID ...","No action is required."
"BGP","1","FATAL","Fatal error: %s: %s","An unexpected fatal error has occurred. Parameters: Error Type, Error ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","1","UNKNOWNFATAL","Unknown fatal error %d: %s","An unexpected fatal error has occurred. Parameters: Error Type, Error ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","AFINIT","Error initializing address family, (%d)","An unrecoverable error has occurred during BGP initialization.","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","AFINITFUNCS","Error initializing address family function vectors, (%d)","An unrecoverable error has occurred during BGP initialization.","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","APIINIT","Unable to initialize %s API","An unrecoverable error has occurred during BGP initialization. Parameters: Server Name ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","APIMTSBIND","Unable to bind to MTS SAP for %s, sap %d: %s","BGP client was not able to create a message queue for communication. Parameters: Queue name, MTS SAP, Error ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","ATTACH","Unable to attach to %s","An unrecoverable error has occurred during BGP initialization. Parameters: Server Name ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","IPV6REG","Unable to register with IPv6","An unrecoverable error has occurred during BGP initialization.","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","MQLOOP_INIT","Message queue loop %s, %s, Error - %s","An unrecoverable error has occurred during BGP initialization. Parameters: MQLoop Type, Failure Type, Error ...","Use the 'restart' command to restart the feature and clear this problem."
"BGP","2","MTSBIND","Unable to bind to MTS SAP for %s, sap %d: %s","BGP was not able to create a message queue for communication. Parameters: Queue name, MTS SAP, Error ...","Use the 'restart' command to restart the feature and clear this problem."
